Title,0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000,8200,8400,8600,8800,9000,9200,9400,9600,9800,10000,10200,10400,10600,10800,11000,11200,11400,11600,11800,12000,12200,12400,12600,12800,13000,13200,13400,13600,13800,14000,14200,14400,14600,14800,15000,15200,15400,15600,15800,16000,16200,16400,16600,16800,17000,17200,17400,17600,17800,18000,18200,18400,18600,18800,19000,19200,19400,19600,19800,Genre
10-abbey_rhodes.mp3,1043621,61740765.13,204762758.7,387832722.2,43762172.3,4884439.523,17311798.02,6923562.204,1728419.145,10979266.72,2799718.648,1116778.09,6335379.352,1630382.604,4197491.352,2735865.019,2276122.876,2259789.918,1887282.23,4460660.16,4907884.024,903958.63,1934561.748,900024.1722,6045942.95,2817958.688,2969086.281,2306426.657,2142445.834,1599450.9,5913038.424,1570409.976,1937494.202,655153.638,2309606.554,3387669.184,2366737.348,3240046.801,1098589.707,1308920.008,2757738.03,1267296.758,484615.7382,1204388.154,178179.8706,1430969.867,2120444.188,2175515.146,1887320.213,1539265.247,327081.2748,312256.1763,1463283.073,2222896,1550229.168,160401.3778,1703206.301,1796550.76,1303578.517,660746.1994,736032.3253,559000.0809,1692443.074,202937.0741,599.2920469,1274.97525,1766.176965,2064.927646,1952.739217,1396.068117,1079.844491,1968.812883,1454.571909,451.8904401,1841.961493,2493.759415,1308.770186,1522.989159,600.4766837,2285.979428,3054.392936,1962.593043,2283.275834,1061.796496,2538.983363,1970.808759,975.3734021,2023.685515,2280.0655,2767.414581,2384.000186,2411.610402,1754.836694,1913.843566,2566.356447,1166.833088,753.3214279,2477.249148,1230.352088,788.6313189,jazz_blues
10-at_least_you've_been_told.mp3,2126883,139184931.9,89984690.84,117131531.7,79548896.75,33878328.62,36750102.21,44222359.76,12284031.27,9543494.213,7163409.506,30720539.51,5114242.402,12801497.2,30115214.81,9734910.652,10607197.12,10722077.22,13320995.06,9181047.788,3583245.243,3305238.389,6724096.027,4353378.075,7421650.391,28816949.57,15548943.24,6056171.051,6292985.583,10646349.89,9343922.572,5442563.443,9862931.282,3880663.683,1638392.229,6751973.916,4990901.566,9084662.506,3733995.54,5537382.183,7211970.008,5785488.735,12091891.12,2932077.507,1317239.913,7864005.563,14643473.75,9404709.601,10898297.96,8568856.965,5721124.316,4560342.473,10221531.27,5045430.581,11099766.11,2374704.227,2864793.027,2862183.776,4227087.509,3954517.901,2619988.671,3847172.921,2938615.425,480540.3385,66243.06427,51213.07513,155805.6985,68407.61862,98483.69321,65691.16338,62106.95176,43496.84386,67528.91879,36955.82991,56638.98088,31198.98476,129136.7803,40512.71274,66119.54287,42040.19832,120663.353,19188.64076,38428.63217,55417.62058,39956.2276,41980.24402,80562.97409,32742.37244,139662.3421,61556.60347,24912.92323,19561.75283,49134.07746,23466.88724,6684.936444,83976.03814,5681.113413,16540.17452,26777.46981,39033.31783,rock_pop
10-brilliant_day_(eine_kleine_mix).mp3,3638673,7667547.728,13352642.47,18980628.23,22041971.77,5892000.819,992867.0565,2514030.326,23126633.09,2726887.024,3190395.997,3984868.466,1749703.123,2655733.404,8813667.422,2754126.85,3693697.839,7024898.309,1500900.971,6907087.404,896098.4682,1270304.455,609704.6141,721516.6662,981359.1223,1435269.698,68824.30131,838023.4981,769260.48,467667.0286,368462.6319,620903.6511,1072843.425,667736.8039,415236.9851,973086.034,495125.2016,200521.0031,326381.7785,344130.7793,144759.0382,368875.6022,63827.14572,536013.1783,951271.8881,456614.2493,658155.3267,200851.0948,284541.1624,197045.4863,553401.0229,197772.9189,341152.438,287785.3845,294854.1852,478155.3646,169775.7328,126607.4156,201371.5383,116283.5714,153319.2168,95490.4218,70032.73741,7596.3846,2731.401174,2145.791017,2783.630488,3499.367563,1353.019304,1447.318863,1856.492792,3588.42266,1623.69605,2306.812335,1986.74553,2327.34688,2519.831988,1274.166653,1320.471358,740.3905681,2530.140607,1448.999239,1400.100136,3044.604972,1353.298839,1837.999373,1288.251006,1805.272601,1606.7595,3055.255401,1808.905693,1754.348879,2380.075771,2799.921865,2397.215117,3060.009491,2120.585649,2372.546729,2653.544784,1731.706378,electronic
10-carefully_watch_the_news.mp3,2498355,245250014.9,65963589.35,91875541.4,52900587.7,21639435.58,54592624.06,20570379.83,14046656.37,6839765.206,18982185.12,3758501.806,10718728.69,3855446.808,6785671.635,1854032.689,10239263.83,4497107.101,5620432.914,9835568.767,2341686.142,7707234.101,13460956.23,5878877.365,4944165.722,3801364.274,8420941.87,6703917.586,3629332.166,5566947.39,5239731.539,4128798.535,5715496.721,10568924.59,9485857.418,2613728.465,5081598.497,2260319.017,2973718.965,5156602.874,8871902.719,4434042.243,5131238.749,5082320.979,4423447.54,2064737.447,2003817.865,771575.9007,5637440.996,5457268.953,1971868.722,5645208.712,2415828.583,3016398.71,1544400.775,899749.953,2231073.543,1504916.589,2913109.566,1059420.483,2253501.138,365623.7923,406690.4073,68457.71852,7632.139745,8166.064111,10091.38107,9559.344271,9443.586604,8741.016099,9373.300949,9827.21522,10172.843,8931.67334,8390.307395,8878.828537,8866.188811,8060.384285,9091.155813,8883.835158,9499.497508,9037.880237,10038.95243,8615.656264,7907.281923,8665.388203,9419.24181,8262.540144,9342.131401,8335.626545,8720.719579,7984.793342,9126.964638,4856.855111,7473.337512,9129.491911,6973.661419,8691.5797,8577.869889,8380.539834,rock_pop
10-echoes_of_the_big_bang.mp3,12633950144,23442298.8,76518738.22,9061876.992,88275540.13,2283531.863,48922264.74,9276679.129,51449137.13,2932875.32,8722231.74,39585256.59,40051555.12,3882676.912,36402198.32,10373359.82,58139730.81,5535783.57,64446205.46,51292600.06,99453965.45,10775292.89,36808161.58,1317104.559,88345015,6772424.332,62847565.97,969365.7954,81597875.23,6024387.075,50084197.37,11627670.87,39853237.45,7686685.996,40657226.76,8034492.832,85259455.48,4746312.204,11247146.6,11351742.74,17369304.34,4335759.086,22513604.77,5939414.623,79403017.91,2008500.985,18367929.12,1212180.703,54048306.17,6204575.092,41230469.53,4396182.036,22127595.93,4100718.771,23441549.19,2999631.422,63270585.24,4777863.625,31923153.98,1152287.472,61085866.02,2497932.929,19184546.16,3512580.703,66151.72353,59475.45892,83492.09647,15352.30037,100849.6042,41385.10727,40955.32751,12976.15783,83616.77195,24939.17633,25058.12026,29621.1228,28989.74799,15205.31503,111614.9788,27980.68641,72208.0266,47939.33708,104421.6765,36294.97016,44455.65972,20567.82272,21246.53487,26103.87899,63906.60041,18581.25146,73223.63963,18513.55265,34590.84993,26508.6589,71477.05568,13465.56097,91316.7836,35046.10191,31169.95277,40243.37918,metal_punk
10-farewell_jupiter.mp3,640143280,15759541.96,19291398.54,8744261.156,9052737.92,18754502.23,3370531.324,8790080.266,2788991.167,7654499.276,2117791.017,3983504.144,5234493.79,4527778.352,10092027.13,928840.6371,6544563.013,8465751.913,972419.43,4911917.324,2664327.686,1535161.097,2450591.199,4153672.347,2145035.724,53543538.01,2231636.392,2343894.667,2181537.392,1001260.045,1731861.297,4285156.956,2740464.144,2768154.342,1397942.598,896867.9772,1635452.162,1027391.037,1079060.943,970206.1056,2608577.701,682791.3544,3845864.961,74154.82889,845242.228,855450.1287,470543.395,1196455.708,83456.61235,704406.0846,15782699.98,947590.7657,898953.381,247304.2625,1011491.885,461550.624,367856.316,825000.9316,366619.3074,675808.6834,368589.3497,960257.9964,449567.2345,240539.8909,5176.500905,2104.755674,5345.01278,1183.471408,2265.146008,1175.246549,2801.41179,1321.786027,4045.383288,3583.823901,3872.177148,5271.257028,6414.225292,4147.259016,7309.913016,5567.129663,4598.921772,8085.782293,7804.875347,3072.09827,1447.744477,3697.910335,2972.682281,4945.046149,3366.203389,2127.015957,1214.043984,3287.864594,2548.392574,4047.707265,2102.731294,4380.46314,5430.134889,6294.610371,5978.248631,2671.816144,metal_punk
10-feverdream.mp3,61300150,67228286.02,56813147.15,92562628.45,44779538.71,33255728.92,52713268.33,44382150.3,6729973.474,41097960.35,3933857.152,25121626.21,33112209.56,26564297.43,8905443.624,18776776.48,12879978.48,27867096.68,12537477.34,7157683.363,28188745.34,5262565.464,8063402.687,10309189.56,6875206.2,7769538.907,16010621.69,7331980.612,11306501.64,16568819.42,8199185.36,20176800.18,6693354.896,17101320.03,4216702.023,6100829.056,6077639.14,8675366.619,4760508.806,9167937.331,2547070.421,7585132.26,2212582.438,2156723.376,6002651.59,11649758.02,10953537.76,12680173.06,10407635.03,3036802.722,11114486.45,8383547.226,10890790.04,4697478.4,6801793.838,1630972.984,4388006.677,3140677.39,6579870.223,2939309.443,2883133.097,4162505.889,1551315.18,600467.0732,105105.9683,83043.24624,54683.57736,71299.93608,45592.92518,86353.19984,61096.10285,63943.61852,77166.78328,15625.96184,22779.63521,65405.05172,31760.35293,99966.85693,38184.45647,13638.24035,22185.89401,36632.68941,9234.166484,21789.26461,76808.57649,22669.18817,43941.35529,49987.71684,26132.94053,36787.03478,9402.00164,41859.26628,20243.42189,18088.93598,60952.87617,65552.47054,36888.06544,29247.66313,44210.41817,25694.74018,electronic
10-forshadowing_the_endless_quest.mp3,22595600,131947369.7,189797125.5,140616085.4,222961840.7,64351170.25,27530284.47,28144397.8,52208525.7,15291454.66,14228791.27,18268890.73,26794714.77,21908775.64,28452511.13,21140355.04,9837716.389,16671551.33,20513533.49,7889183.484,6293479.22,7105790.444,10148856.01,6807169.884,7706341.98,3526722.613,10202641.05,5731169.041,9939845.454,3770001.433,7163275.148,6739994.941,2527702.157,4315866.239,1748808.786,6228053.607,3800250.84,8438870.072,2899703.851,3669619.598,2100350.26,3099378.941,5395953.177,4100495.821,1488283.383,2018752.076,4828819.667,6507838.151,4068421.803,1483076.138,3672203.752,3135046.359,4628993.769,6213430.635,2976483.865,1708835.569,1667502.201,995785.6252,687430.5177,1618762.337,1371595.165,541704.318,1525186.643,273462.1778,9400.861967,12930.98946,11139.25669,16545.81415,4282.765533,8967.047557,3077.528775,5081.351219,8578.225309,5142.00575,11918.46956,10486.34501,8589.099938,12794.24923,11682.91793,4172.197494,8487.951482,5548.826991,2053.267296,8470.866812,8043.83703,2816.727745,11165.55431,6636.782388,6711.722642,8371.032462,1007.870947,8346.318868,9478.012039,8320.646759,15139.21455,7128.200121,11319.88914,7781.070633,5646.453887,3672.807904,classical
10-g_guys.mp3,63431358,113965742.9,20905667.39,8494386.971,5858226.168,12418776.59,6278684.65,8598415.662,5787252.723,12696599.19,4721566.133,6265464.372,3275124.061,2520072.94,2873568.698,4029758.629,842833.3766,2204002.643,3904019.683,18893456.67,3279524.743,6508040.934,2254865.658,3445312.078,3462804.441,6800150.463,655945.2631,3175230.531,4289700.939,13605461.55,2770078.474,7614592.585,3789860.934,3247969.753,5949862.237,2252264.633,3827145.89,1242397.526,19203466.93,4444472.417,1985414.008,2671501.72,6151985.161,3719758.312,2716574.769,1518539.709,567472.4625,45171.47723,2330817.692,190508.5307,1884235.259,397790.1608,2000608.618,103910.9669,1282149.793,872454.0641,900805.1404,1201363.072,798366.7115,707286.0391,668178.6451,270660.5243,586883.6952,47650.71367,51352.23198,37204.63396,67926.31139,15291.17856,10067.7764,17973.8268,30902.04487,52751.61837,47779.43753,63974.47321,59541.59836,58129.79521,10480.79118,68094.76268,18038.90602,33832.67278,34011.53102,18509.27518,20445.19505,55674.86922,18043.75322,30480.50304,13231.03985,29907.20548,39393.33703,41015.67832,57845.51538,71443.44394,84893.2829,41309.2009,17515.44594,23323.45038,38930.76412,84150.49868,59233.4047,54947.19043,classical
10-gigue.mp3,169119,11590607.65,17886637.83,3056121.434,848393.7907,5314654.91,1255600.425,877746.7932,1659499.899,1293237.857,647913.282,423330.441,235632.2331,203838.39,149735.2713,210874.1845,305480.8415,1073755.382,241464.0569,1882993.786,279963.5384,216814.2736,141169.4797,1277328.956,290447.8659,193296.3068,77186.17224,813756.4721,131576.2692,454476.9391,98766.58532,249728.8838,431373.3503,165453.4756,480573.8646,139079.5584,209347.8213,70741.48516,143462.6102,89615.89263,199082.0623,93469.02038,340705.9976,135374.3915,191130.4241,144625.9053,37660.95747,215468.5693,143350.6844,64504.84234,104787.0747,111805.8266,78522.30576,156614.4965,46475.33464,125762.8446,56962.01798,80753.42675,106049.3333,88701.25982,49084.32542,33708.24559,117827.6406,21681.00952,426.5523349,337.4679518,360.9827029,433.5625444,454.108607,144.9428221,325.1418532,576.1910085,547.9429172,860.9589934,172.7602581,504.4421803,608.6391675,485.9104206,401.1391475,94.26685395,265.0299641,258.3511827,52.71407039,508.9653013,41.18469313,758.0713522,129.686531,209.0035747,242.4379273,169.1911778,229.1170289,275.3148094,660.850509,366.8216926,218.3003329,539.6300457,428.8046017,468.6529649,496.7286976,546.964757,classical
